Stock Name,Symbol,Industry_O,Industry,Market Cap(Rs. Cr.),Exchange,Last Price,LTPP,LTP,Volume,Chng%,Chg%,Change,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio  (TTM),Price Earning Ratio(TTM),PEG Ratio,Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),52w_high_csv,52w_high,52w_low_csv,52w_low,EPS,,Symbol with Comma for External Upload,EPS_csv,EPS
Accord Synergy Ltd.,ACCORD,Telecommunication - Service Provider,Telecommunication - Service Provider,9.58,NSE,0,27.6,27.6,0,,,0,1,2024-09,,9.58,2024-03,31.88,0.39,2024-03,24.38,24.38,-0.7,0.65,1,2024-03,0,2.69,2.52,0,0,0,0,0,,"512527,",1,
Accuracy Shipping Ltd.,ACCURACY,Logistics,Logistics,165.47,NSE,3.97,11.17,3.97,54509,1.64,-1.98,-0.08,2,2024-09,114.49,267.2,2024-09,814.14,9.2,2024-09,17.98,22.95,-0.42,1.39,2,2024-03,0.94,0.44,5.38,0,9.61,0,3.76,0.17,,,1,
ACE Integrated Solutions Ltd.,ACEINTEG,BPO/ITeS,BPO/ITeS,31.67,NSE,16.46,31.25,16.46,54018,0.64,-1.61,-0.27,2,2024-09,0.42,29.39,2024-09,11.37,0.62,2024-09,51.08,51.08,,1.66,2,2024-03,0.01,2.19,2.06,0,29.94,0,15.6,-9.45,,,FALSE,
Arfin India Ltd.,ARFIN,Aluminium & Aluminium Products,Aluminium & Aluminium Products,582.94,BSE,0,35.83,35.83,660225,3.7,-0.21,-0.16,1,2024-09,133.12,701.97,2024-09,534.25,9.75,2024-09,59.8,139.71,12.97,3.78,1,2024-03,1.25,8.95,13.62,0,0,0,0,0.54,,"531525,",TRUE,
Acme Solar Holdings Ltd.,ACMESOLAR,Power Generation/Distribution,Power Generation/Distribution,14277.05,NSE,256.79,240.1,256.79,6696733,1.83,3.14,7.81,2,2024-09,10353.76,23032.87,,,,2024-03,20.46,32.5,,2.94,2,2024-03,3.17,31.07,15.7,0,324.3,0,172.63,7.9,,"526081,",1,
Golkonda Aluminium Extrusions Ltd.,GOLKONDA,Aluminium & Aluminium Products,Aluminium & Aluminium Products,7.38,BSE,0,14.12,14.12,0,0.86,0.86,0,1,2024-09,,7.35,2024-09,0.1,0.51,2024-09,14.52,14.52,0.19,0.89,1,2024-03,0,19.42,19.43,0,0,0,0,0,,"517356,",TRUE,
Action Construction Equipment Ltd.,ACE,Construction Vehicles,Construction Vehicles,18560.9,NSE,840,1548.5,840,155447,-0.72,-0.34,0,2,2024-09,113.77,18610.36,2024-09,3079.9,365.69,2024-09,50.76,50.76,1.2,13.41,2,2024-03,0,30.56,42.35,0,1389,0,775.45,-0.16,,,1,
Hind Aluminium Industries Ltd.,HINDALUMI,Aluminium & Aluminium Products,Aluminium & Aluminium Products,45.49,BSE,0,75,75,0,3.86,3.86,0,2,2024-09,0.6,43.94,2024-09,1.08,1.56,2024-09,4.58,4.58,0.14,0.57,2,2024-03,0,9.31,8.49,0,0,0,0,0,,,FALSE,
Adani Energy Solutions Ltd.,ADANIENSOL,Power Generation/Distribution,Power Generation/Distribution,97123.7,NSE,1007.4,827.4,1007.4,552385,2.27,-2.97,-30.8,2,2024-09,38950.86,130014.3,2024-09,20831.83,315.71,2024-09,179.59,53.75,11.77,4.63,2,2024-03,2.93,9.8,9.51,0,1067.7,0,744.9,18.72,,"SARTELE,",1,
Adani Enterprises Ltd.,ADANIENT,Trading,Trading,299717.7,NSE,1939,2594.85,1939,1013825,-0.11,-3.4,-68.2,2,2024-09,63858.13,358927.1,2024-09,105596.9,5730.28,2024-09,54.15,16.62,1.52,6.5,2,2024-03,1.45,9.48,11.81,0,2612.76,0,1848,116.54,,"VADILALIND,",1,
Adani Green Energy Ltd.,ADANIGREEN,Power Generation/Distribution,Power Generation/Distribution,165832.4,NSE,859.1,1052.3,859.1,1647941,0.55,-3.68,-32.8,2,2024-09,65606,225566.4,2024-09,10727,1269,2024-09,147.01,99.68,4.06,15.68,2,2024-03,10.62,21.08,10.04,0,1177.55,0,765,8.61,,,1,
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Port,Port,264757.4,NSE,1365,1217.8,1365,1525560,-0.67,-2.71,-38,2,2024-09,44058.59,302188.7,2024-09,28443.21,9953.64,2024-09,27,23.63,1.71,4.63,2,2024-03,0.87,16.45,13.3,0,1584,0,1041.5,57.72,,"SANSERA,",1,
Nirav Commercials Ltd.,NIRAVCOM,Aluminium & Aluminium Products,Aluminium & Aluminium Products,32.35,BSE,0,825.25,825.25,0,0,0,0,1,2024-09,,32.35,2024-09,9.25,-2.06,2024-09,0,0,0,1.06,1,2024-03,0.01,1.09,1.79,0,0,0,0,0,,,FALSE,
Palco Metals Ltd.,PALCO,Aluminium & Aluminium Products,Aluminium & Aluminium Products,97,BSE,0,246,246,0,1.44,1.44,0,2,2024-09,32.13,128.1,2024-09,227.11,7.65,2024-09,12.67,12.67,0.3,4.41,2,2024-03,1.9,29.25,16.33,0,0,0,0,0,,"ADANIENSOL,",TRUE,
PG Foils Ltd.,PGFOILQ,Aluminium & Aluminium Products,Aluminium & Aluminium Products,272.64,BSE,0,236.35,236.35,0,2.25,2.25,0,1,2024-09,71.78,338.9,2024-09,401.22,29.38,2024-09,9.28,9.28,9.1,0.82,1,2024-03,0.22,5.75,6.27,0,0,0,0,0,,"ADANIENT,",TRUE,
